Transitions,Final State,,<letter>,<digit>,*,/,+,-,<,>,=,!,{,<comma>,},#,_,.,(,),:,;
Error State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start State,0,1,20,17,21,22,23,24,27,25,29,31,39,35,40,2,9,0,33,34,36,37
ColorLiteral#,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColorLiteralInvalid1,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColorLiteralInvalid2,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColorLiteralInvalid3,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColorLiteralInvalid4,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColorLiteralInvalid5,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ColorLiteralValid,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVar__Invalid,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
SpecialVar__Invalid2,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVar__LetInvalid1,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVar__LetInvalid2,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVar__LetInvalid3,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVarValid1,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVarValid2,1,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecialVarValid3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ValdiDigitLiteral,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
FloatInvalid,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FloatValid,1,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Word,1,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Multiplication,1,21,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Division,1,22,0,0,42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addition,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minus,1,24,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
GreaterThan,1,25,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
GreaterThanEqual,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LessThen,1,27,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
LessThenEqual,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equal,1,29,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
EqualTo,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotEqualInvalid,0,31,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
NotEqualValid,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenBracket,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloseBracket,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comma,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SemiColon,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrow,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenCurlyBracket,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloseCurlyBracket,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SingleLineComment,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MultiLineCommentStart,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MultiLineCommentClose,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
